"","id","resolution","section"
"1","10/1","Question of the realization in all countries of economic, social and cultural rights: follow-up to Human Rights Council resolution 4/1","22,138,1605,3790"
"2","10/2","Human rights in the administration of justice, in particular juvenile justice","23,157,1609,3793"
"3","10/3","World Programme for Human Rights Education","24,194,1612,3799"
"4","10/4","Human rights and climate change","25,206,1615,3841"
"5","10/5","Composition of staff of the Office of the United Nations High Commissioner for Human Rights","26,226,1403"
"6","10/6","Enhancement of international cooperation in the field of human rights","27,259,1414,3820"
"7","10/7","Human rights of persons with disabilities: national frameworks for the promotion and protection of the human rights of persons with disabilities","28,284,1618,3787"
"8","10/8","Draft United Nations guidelines for the appropriate use and conditions of alternative care for children","29,312,1622,3802"
"9","10/9","Arbitrary detention","30,320,1625,3805"
"10","10/10","Enforced or involuntary disappearances","31,347,1628,3808"
"11","10/11","The use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination","32,395,1632,3251,3823"
"12","10/12","The right to food","33,438,1644,3826"
"13","10/13","Human rights and arbitrary deprivation of nationality","34,507,1649,3859"
"14","10/14","Implementation of the Convention on the Rights of the Child and the Optional Protocols thereto","35,540,1653"
"15","10/15","Protection of human rights and fundamental freedoms while countering terrorism","36,577,1657,3844"
"16","10/16","Situation of human rights in the Democratic People’s Republic of Korea","37,599,1737,3283,3832"
"17","10/17","Human rights in the occupied Syrian Golan","38,631,2411,3431,3754"
"18","10/18","Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan","39,661,2423,3757"
"19","10/19","Human rights violations emanating from the Israeli military attacks and operations in the Occupied Palestinian Territory","40,704,2435,3760"
"20","10/20","Right of the Palestinian people to self-determination","41,734,2447,3763"
"21","10/21","Follow-up to Council resolution S-9/1 on the grave violations of human rights in the Occupied Palestinian Territory, particularly due to the recent Israeli military attacks against the occupied Gaza Strip","42,752,2452,3865"
"22","10/22","Combating defamation of religions","43,771,2486,3745,3748"
"23","10/23","Independent expert in the field of cultural rights","44,816,1661"
"24","10/24","Torture and other cruel, inhuman or degrading treatment or punishment: the role and responsibility of medical and other health personnel","45,849,1668"
"25","10/25","Discrimination based on religion or belief and its impact on the enjoyment of economic, social and cultural rights","46,889,1686,3856"
"26","10/26","Forensic genetics and human rights","47,926,1699,3862"
"27","10/27","Situation of human rights in Myanmar","48,949,1751,3294,3440,3835"
"28","10/28","United Nations Declaration on Human Rights Education and Training","49,986,1777,3796"
"29","10/29","The Social Forum","50,999,1780,3817"
"30","10/30","Elaboration of complementary standards to the International Convention on the Elimination of All Forms of Racial Discrimination","51,1029,2498,3766,3769"
"31","10/31","From rhetoric to reality: a global call for concrete action against racism, racial discrimination, xenophobia and related intolerance","52,1047,2507,3772,3775"
"32","10/32","Assistance to Somalia in the field of human rights","53,1061,2532,3784"
"33","10/33","Situation of human rights in the Democratic Republic of the Congo and the strengthening of technical cooperation and consultative services","54,1081,2539,3239,3751"
