"","id","resolution","section"
"1","21/1","Situation of human rights in Eritrea","24,133,2337"
"2","21/2","The human right to safe drinking water and sanitation","25,150,2141,4282"
"3","21/3","Promoting human rights and fundamental freedoms through a better understanding of traditional values of humankind: best practices","26,230,2148,4285"
"4","21/4","Enforced or involuntary disappearances","27,281,2155,4294"
"5","21/5","Contribution of the United Nations system as a whole to the advancement of the business and human rights agenda and the dissemination and implementation of the Guiding Principles on Business and Human Rights","28,383,2160,4049,4321"
"6","21/6","Preventable maternal mortality and morbidity and human rights","29,433,2168,4309"
"7","21/7","Right to the truth","30,467,2174,4327"
"8","21/8","The use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination","31,541,2178,4330"
"9","21/9","Promotion of a democratic and equitable international order","32,625,2184,4333"
"10","21/10","Human rights and international solidarity","33,761,2190,4336"
"11","21/11","Guiding principles on extreme poverty and human rights","34,853,2197,4339"
"12","21/12","Safety of journalists","35,887,2202,4297"
"13","21/13","Panel discussion on the negative impact of corruption on the enjoyment of human rights","36,955,2208,4318"
"14","21/14","World Programme for Human Rights Education","37,981,2214,4345"
"15","21/15","Human rights and transitional justice","38,1009,2219,4351"
"16","21/16","The rights to freedom of peaceful assembly and of association","39,1121,2224,4354"
"17","21/17","Mandate of the Special Rapporteur on the implications for human rights of the environmentally sound management and disposal of hazardous substances and wastes","40,1161,2230,4357"
"18","21/18","Human rights and issues related to terrorist hostage-taking","41,1184,2340,4303"
"19","21/19","Promotion and protection of the human rights of peasants and other people working in rural areas","42,1192"
"20","21/20","High-level panel discussion to commemorate the twentieth anniversary of the adoption of the Vienna Declaration and Programme of Action","43,1217,3188,4315"
"21","21/21","Enhancement of technical cooperation and capacity-building in the field of human rights","44,1237,3278,4312"
"22","21/22","Technical assistance and capacity-building for Yemen in the field of human rights","45,1297,3283,4369"
"23","21/23","The human rights of older persons","46,1336,2237,4324"
"24","21/24","Human rights and indigenous peoples","47,1378,2243,4342"
"25","21/25","Situation of human rights in the Republic of Mali","48,1440,2284,4306"
"26","21/26","Situation of human rights in the Syrian Arab Republic","49,1460,2289,4094,4375"
"27","21/27","Technical assistance for the Sudan in the field of human rights","50,1515,3286,4291"
"28","21/28","Technical assistance and capacity-building for South Sudan in the field of human rights","51,1567,3293,4103,4300"
"29","21/29","Open-ended intergovernmental working group to consider the possibility of elaborating an international regulatory framework on the regulation, monitoring and oversight of the activities of private military and security companies","52,1592,2248,4360"
"30","21/30","Elaboration of complementary standards to the International Convention on the Elimination of All Forms of Racial Discrimination","53,1610,3223"
"31","21/31","Assistance to Somalia in the field of human rights","54,1633,3299,4372"
"32","21/32","The right to development","55,1681,2252,4288"
"33","21/33","From rhetoric to reality: a global call for concrete action against racism, racial discrimination, xenophobia and related intolerance","56,1753,3231,4366"
