"","id","resolution","section"
"1","14/1","The grave attacks by Israeli forces against the humanitarian boat convoy","22,113,785,2623"
"2","14/2","Trafficking in persons, especially women and children: regional and subregional cooperation in promoting a human rights-based approach to combating trafficking in persons","23,138,1027,2632"
"3","14/3","Promotion of the right of peoples to peace","24,187,1031,2653"
"4","14/4","The effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","25,235,1043,2656"
"5","14/5","The role of prevention in the promotion and protection of human rights","26,290,1054,2239,2662"
"6","14/6","Mandate of the Special Rapporteur on the human rights of internally displaced persons","27,307,1059,2257,2671"
"7","14/7","Proclamation of 24 March as the International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims","28,344,1809"
"8","14/8","Regional cooperation for the promotion and protection of human rights in the Asia-Pacific region","29,360"
"9","14/9","Promotion of the enjoyment of the cultural rights of everyone and respect for cultural diversity","30,374,1064,2659"
"10","14/10","Enforced or involuntary disappearances","31,400,1070,2266,2674"
"11","14/11","Freedom of religion or belief: mandate of the Special Rapporteur on freedom of religion or belief","32,431,1076,2226,2635"
"12","14/12","Accelerating efforts to eliminate all forms of violence against women: ensuring due diligence in prevention","33,459,1083,2647"
"13","14/13","Question of the realization in all countries of economic, social and cultural rights: follow-up to Human Rights Council resolution 4/1","34,499,1087,2668"
"14","14/14","Technical assistance and cooperation on human rights for Kyrgyzstan","35,519,1877"
"15","14/15","Addressing attacks on schoolchildren in Afghanistan","36,542,2641"
"16","14/16","From rhetoric to reality: a global call for concrete action against racism, racial discrimination, xenophobia and related intolerance","37,559,1842,2221,2629"
