"","id","resolution","section"
"1","23/1","The deteriorating situation of human rights in the Syrian Arab Republic, and the recent killings in Al-Qusayr","26,127,1820,4093"
"2","23/2","The role of freedom of opinion and expression in women’s empowerment","27,151,2107,4105"
"3","23/3","Enhancement of international cooperation in the field of human rights","28,179,2113,4108"
"4","23/4","The right to education: follow-up to Human Rights Council resolution 8/4","29,219,2118"
"5","23/5","Trafficking in persons, especially women and children: efforts to combat human trafficking in supply chains of businesses","30,250,2124,4114"
"6","23/6","Independence and impartiality of the judiciary, jurors and assessors, and the independence of lawyers","31,323,2128,4117"
"7","23/7","Elimination of discrimination against women","32,384,2131,4129"
"8","23/8","Mandate of the Special Rapporteur on the human rights of internally displaced persons","33,467,2137,4132"
"9","23/9","The negative impact of corruption on the enjoyment of human rights","34,569,2142,4147"
"10","23/10","Promotion of the enjoyment of the cultural rights of everyone and respect for cultural diversity","35,609,2147,4150"
"11","23/11","The effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","36,669,2152,4156"
"12","23/12","Human rights and international solidarity","37,778,2158,4159"
"13","23/13","Attacks and discrimination against persons with albinism","38,829,2164,4165"
"14","23/14","Access to medicines in the context of the right of everyone to the enjoyment of the highest attainable standard of physical and mental health","39,851,2170,4120"
"15","23/15","Situation of human rights in Belarus","40,941,2236,4144"
"16","23/16","Promotion of the right to peace","41,966,2293,4153"
"17","23/17","National institutions for the promotion and protection of human rights","42,989,2944,3762,4135"
"18","23/18","Technical assistance to the Central African Republic in the field of human rights","43,1071,2994,4099"
"19","23/19","National policies and human rights","44,1107,3003,4138"
"20","23/20","Human rights of migrants","45,1135,2177,4126"
"21","23/21","Situation of human rights in Eritrea","46,1215,2245,4141"
"22","23/22","Technical assistance to Côte d’Ivoire in the field of human rights","47,1314,3008,4096"
"23","23/23","Strengthening of technical cooperation and consultative services in Guinea","48,1346,3015,4102"
"24","23/24","Technical assistance and capacity-building for South Sudan in the field of human rights","49,1380,3029,4162"
"25","23/25","Accelerating efforts to eliminate all forms of violence against women: preventing and responding to rape and other forms of sexual violence","50,1426,2182,4181"
"26","23/26","The deterioration of the situation of human rights in the Syrian Arab Republic, and the need to grant immediate access to the commission of inquiry","51,1518,2254,4186"
