"","id","resolution","section"
"1","17/1","Mandate of the Special Rapporteur on trafficking in persons, especially women and children","22,122,1775,3331"
"2","17/2","Mandate of the Special Rapporteur on the independence of judges and lawyers","23,153,3355"
"3","17/3","The right to education: follow-up to Human Rights Council resolution 8/4","24,180,3358"
"4","17/4","Human rights and transnational corporations and other business enterprises","25,215,1788,3376"
"5","17/5","Mandate of the Special Rapporteur on extrajudicial, summary or arbitrary executions","26,255,3382"
"6","17/6","Mandate of the independent expert on human rights and international solidarity","27,290,1800,3388"
"7","17/7","The effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","28,316,1805,3397"
"8","17/8","Proclamation of 19 August as the International Day of Remembrance of and Tribute to the Victims of Terrorism","29,372,1811,3400"
"9","17/9","National institutions for the promotion and protection of human rights","30,385,3379"
"10","17/10","Follow-up to the report of the independent international fact-finding mission on the incident of the humanitarian flotilla","31,414,3328"
"11","17/11","Accelerating efforts to eliminate all forms of violence against women: ensuring due diligence in protection","32,439,3343"
"12","17/12","Human rights of migrants: mandate of the Special Rapporteur on the human rights of migrants","33,484,1821,3361"
"13","17/13","Extreme poverty and human rights","34,512,1826,3370"
"14","17/14","The right of everyone to the enjoyment of the highest attainable standard of physical and mental health in the context of development and access to medicines","35,532,3373"
"15","17/15","Promotion of the enjoyment of the cultural rights of everyone and respect for cultural diversity","36,572,1837,3391"
"16","17/16","Promotion of the right of peoples to peace","37,600,3394"
"17","17/17","Situation of human rights in the Libyan Arab Jamahiriya","38,649,3334"
"18","17/18","Optional Protocol to the Convention on the Rights of the Child on a communications procedure","39,676,3349"
"19","17/19","Human rights, sexual orientation and gender identity","40,804,3352"
"20","17/20","Technical assistance and cooperation on human rights for Kyrgyzstan","41,822,3340"
"21","17/21","Assistance to Côte d’Ivoire in the field of human rights","42,852,3406"
"22","17/22","Migrants and asylum-seekers fleeing recent events in North Africa","43,890"
"23","17/23","The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights","44,915,1860,3403"
"24","17/24","Situation of human rights in Belarus","45,938,3385"
"25","17/25","Assistance to Somalia in the field of human rights","46,970,3367"
