"","id","resolution","section"
"1","19/1","The escalating grave human rights violations and deteriorating humanitarian situation in the Syrian Arab Republic","22,145,1836"
"2","19/2","Promoting reconciliation and accountability in Sri Lanka","23,168,1883,4138"
"3","19/3","Composition of staff of the Office of the United Nations High Commissioner for Human Rights","24,187,1891,4189"
"4","19/4","Adequate housing as a component of the right to an adequate standard of living in the context of disaster settings","25,220,2130,4144"
"5","19/5","Question of the realization in all countries of economic, social and cultural rights","26,251,2136,4162"
"6","19/6","Special Rapporteur in the field of cultural rights","27,301,4186"
"7","19/7","The right to food","28,332,2145,4195"
"8","19/8","Freedom of religion or belief","29,425,2150,4201"
"9","19/9","Birth registration and the right of everyone to recognition everywhere as a person before the law","30,468,2153,4204"
"10","19/10","Human rights and the environment","31,488,2156,4156"
"11","19/11","Rights of persons with disabilities: participation in political and public life","32,517,2160,4159"
"12","19/12","Situation of human rights in the Islamic Republic of Iran","33,551,2285,4198"
"13","19/13","The situation of human rights in the Democratic People’s Republic of Korea","34,568"
"14","19/14","Human rights in the occupied Syrian Golan","35,593,3134,3883,4141"
"15","19/15","Right of the Palestinian people to self-determination","36,622,3140,4231"
"16","19/16","Human rights situation in the Occupied Palestinian Territory, including East Jerusalem","37,643,4234"
"17","19/17","Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan","38,687,3152"
"18","19/18","Follow-up to the report of the United Nations Fact-Finding Mission on the Gaza Conflict","39,730,4240"
"19","19/19","Protection of human rights and fundamental freedoms while countering terrorism","40,755,4207"
"20","19/20","The role of good governance in the promotion and protection of human rights","41,785,2168,4210"
"21","19/21","Situation of human rights in Myanmar","42,810,2300"
"22","19/22","Situation of human rights in the Syrian Arab Republic","43,846,2308,4246"
"23","19/23","Forum on Minority Issues","44,903,2341,4165"
"24","19/24","The Social Forum","45,932,4192"
"25","19/25","Combating intolerance, negative stereotyping and stigmatization of, and discrimination, incitement to violence and violence against, persons based on religion or belief","46,958,4153"
"26","19/26","Terms of reference for the Voluntary Technical Assistance Trust Fund to Support the Participation of Least Developed Countries and Small Island Developing States in the Work of the Human Rights Council","47,996"
"27","19/27","The human rights situation in the Democratic Republic of the Congo and the strengthening of technical cooperation and advisory services","48,1010"
"28","19/28","Assistance to Somalia in the field of human rights","49,1045,3230,4216"
"29","19/29","Technical assistance and capacity-building for Yemen in the field of human rights","50,1076,3241,4243"
"30","19/30","Strengthening of technical cooperation and consultative services in Guinea","51,1094,3246"
"31","19/31","Integrity of the judicial system","52,1125,2173,4147"
"32","19/32","Human rights and unilateral coercive measures","53,1146,2179,4168"
"33","19/33","Enhancement of international cooperation in the field of human rights","54,1186,2186,4171"
"34","19/34","The right to development","55,1222,2192,3880,4174"
"35","19/35","The promotion and protection of human rights in the context of peaceful protests","56,1258,4183"
"36","19/36","Human rights, democracy and the rule of law","57,1287,2203,4213"
"37","19/37","Rights of the child","58,1368,2211,4225"
"38","19/38","The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation","59,1509"
"39","19/39","Assistance for Libya in the field of human rights","60,1554,3250,4249"
