"","id","resolution","section"
"1","25/1","Promoting reconciliation, accountability and human rights in Sri Lanka","100,521,3376"
"2","25/2","Freedom of opinion and expression: mandate of the Special Rapporteur on the promotion and protection of the right to freedom of opinion and expression","103,816,3379"
"3","25/3","Enhancement of international cooperation in the field of human rights","106,823,3382"
"4","25/4","Integrity of the judicial system","109,828,3388"
"5","25/5","Mandate of the Independent Expert on minority issues","112,842,3397"
"6","25/6","Rights of the child: access to justice for children","115,846,3403"
"7","25/7","Protection of human rights and fundamental freedoms while countering terrorism","118,852,3406"
"8","25/8","The role of good governance in the promotion and protection of human rights","121,859,3412"
"9","25/9","The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation","124,863,3415"
"10","25/10","Ending violence against children: a global call to make the invisible visible","127,877,3418"
"11","25/11","Question of the realization in all countries of economic, social and cultural rights","130,883,3421"
"12","25/12","Freedom of religion or belief","133,888,3430"
"13","25/13","Torture and other cruel, inhuman or degrading treatment or punishment: mandate of the Special Rapporteur","136,891,3448"
"14","25/14","The right to food","139,897,3451"
"15","25/15","Promotion of a democratic and equitable international order","142,903,3454"
"16","25/16","Mandate of the Independent Expert on the effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","145,916,3457"
"17","25/17","Adequate housing as a component of the right to an adequate standard of living","148,929,3427"
"18","25/18","Mandate of the Special Rapporteur on the situation of human rights defenders","151,936,3445"
"19","25/19","Promotion of the enjoyment of the cultural rights of everyone and respect for cultural diversity","154,980,3460"
"20","25/20","The right to education of persons with disabilities","157,986,3463"
"21","25/21","Human rights and the environment","160,990,3466"
"22","25/22","Ensuring use of remotely piloted aircraft or armed drones in counter-terrorism and military operations in accordance with international law, including international human rights and humanitarian law","163,995,3469"
"23","25/23","The continuing grave deterioration of the human rights and humanitarian situation in the Syrian Arab Republic","166,1109,3394"
"24","25/24","Situation of human rights in the Islamic Republic of Iran","169,1124,3400"
"25","25/25","Situation of human rights in the Democratic People’s Republic of Korea","172,1139,3424"
"26","25/26","Situation of human rights in Myanmar","175,1156,3436"
"27","25/27","Right of the Palestinian people to self-determination","178,1990,3481"
"28","25/28","Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan","181,2001,3140,3484"
"29","25/29","Human rights situation in Occupied Palestinian Territory, including East Jerusalem","184,2011,3487"
"30","25/30","Follow-up to the report of the United Nations Independent International Fact-Finding Mission on the Gaza Conflict","187,2020,3490"
"31","25/31","Human rights in the occupied Syrian Golan","190,2028,3493"
"32","25/32","Mandate of the Special Rapporteur on contemporary forms of racism, racial discrimination, xenophobia and related intolerance","193,2067,3439"
"33","25/33","International Decade for People of African Descent","196,2072,3442"
"34","25/34","Combating intolerance, negative stereotyping and stigmatization of, and discrimination, incitement to violence and violence against, persons based on religion or belief","199,2078,3128,3496"
"35","25/35","Strengthening of technical cooperation and consultative services in Guinea","202,2139"
"36","25/36","Assistance to the Republic of Mali in the field of human rights","205,2144"
"37","25/37","Technical assistance for Libya in the field of human rights","208,2151,3155,3478"
"38","25/38","The promotion and protection of human rights in the context of peaceful protests","211,1009,3433"
