"","id","resolution","section"
"1","16/1","United Nations Declaration on Human Rights Education and Training","22,147,1787,3705"
"2","16/2","The human right to safe drinking water and sanitation","23,160,1792,3714"
"3","16/3","Promoting human rights and fundamental freedoms through a better understanding of traditional values of humankind","24,191,1801,3720"
"4","16/4","Freedom of opinion and expression: mandate of the Special Rapporteur on the promotion and protection of the right to freedom of opinion and expression","25,215,3732"
"5","16/5","Mandate of the Special Rapporteur on the situation of human rights defenders","26,228,1815,3747"
"6","16/6","Mandate of the independent expert on minority issues","27,250,1819,3774"
"7","16/7","Mandate of the Special Rapporteur on violence against women, its causes and consequences","28,283,1825,3780"
"8","16/8","Situation of human rights in the Democratic People’s Republic of Korea","29,304,1958,3711"
"9","16/9","Situation of human rights in the Islamic Republic of Iran","30,335,1966,3777"
"10","16/10","Composition of staff of the Office of the United Nations High Commissioner for Human Rights","31,352,3759"
"11","16/16","Enforced or involuntary disappearances","37,571,1864,3771"
"12","16/17","Human rights in the occupied Syrian Golan","38,595,2669,3373,3708"
"13","16/18","Combating intolerance, negative stereotyping and stigmatization of, and discrimination, incitement to violence and violence against, persons based on religion or belief","39,624,2725,3816"
"14","16/19","Cooperation between Tunisia and the Office of the United Nations High Commissioner for Human Rights","40,660,2763,3798"
"15","16/20","Follow-up to the report of the independent international fact-finding mission on the incident of the humanitarian flotilla","41,678,1552,3717"
"16","16/21","Review of the work and functioning of the Human Rights Council","42,701,1561,3819"
"17","16/22","Enhancement of international cooperation in the field of human rights","43,714,1869,3726"
"18","16/23","Torture and other cruel, inhuman or degrading treatment or punishment: mandate of the Special Rapporteur","44,745,1873,3738"
"19","16/24","Situation of human rights in Myanmar","45,797,1975,3735"
"20","16/25","Situation of human rights in Côte d’Ivoire","46,840,1983,3801"
"21","16/26","The Social Forum","47,868,3750"
"22","16/27","The right to food","48,894,1882,3753"
"23","16/28","The protection of human rights in the context of human immunodeficiency virus (HIV) and acquired immunodeficiency syndrome (AIDS)","49,981,1894,3640,3768"
"24","16/29","Human rights situation in the Occupied Palestinian Territory, including East Jerusalem","50,1045,2675"
"25","16/30","Right of the Palestinian people to self-determination","51,1086,2683,3789"
"26","16/31","Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan","52,1107,2689,3792"
"27","16/32","Follow-up to the report of the United Nations Fact-Finding Mission on the Gaza Conflict","53,1152,2696,3795"
"28","16/33","Mandate of the Special Rapporteur on contemporary forms of racism, racial discrimination, xenophobia and related intolerance","54,1184,2731,3804"
"29","16/34","Advisory services and technical assistance for Burundi","55,1197,2769,3807"
"30","16/35","The human rights situation in the Democratic Republic of the Congo and the strengthening of technical cooperation and advisory services","56,1209"
"31","16/36","Strengthening of technical cooperation and consultative services in Guinea","57,1240,2782,3813"
