"","id","resolution","section"
"1","20/1","Trafficking in persons, especially women and children: access to effective remedies for trafficked persons and their right to an effective remedy for human rights violations","22,99,1343,2262"
"2","20/2","Conscientious objection to military service","23,203,1348,2271"
"3","20/3","Human rights of migrants","24,221,1353,2277"
"4","20/4","The right to a nationality: women and children","25,277,1356,2283"
"5","20/5","Human rights and arbitrary deprivation of nationality","26,339,1360,2286"
"6","20/6","Elimination of discrimination against women","27,378,1363,2292"
"7","20/7","The right to education: follow-up to Human Rights Council resolution 8/4","28,436,1366,2295"
"8","20/8","The promotion, protection and enjoyment of human rights on the Internet","29,468,1370,2298"
"9","20/9","Human rights of internally displaced persons","30,494,1374,2301"
"10","20/10","The effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","31,582,1379,2310"
"11","20/11","Promotion of the enjoyment of the cultural rights of everyone and respect for cultural diversity","32,638,1392,2313"
"12","20/12","Accelerating efforts to eliminate all forms of violence against women: remedies for women who have been subjected to violence","33,702,1398,2289"
"13","20/13","Situation of human rights in Belarus","34,733,1438,2280"
"14","20/14","National institutions for the promotion and protection of human rights","35,751,1556,2003,2304"
"15","20/15","Promotion of the right to peace","36,787,1501,2307"
"16","20/16","Arbitrary detention","37,829,1403,2274"
"17","20/17","Human rights situation in Mali","38,861"
"18","20/18","Nelson Mandela International Day panel","39,878,1579,2268"
"19","20/19","Technical assistance to Côte d’Ivoire in the field of human rights","40,890,1605,2322"
"20","20/20","Situation of human rights in Eritrea","41,918,1458,2316"
"21","20/21","Assistance to Somalia in the field of human rights","42,991,1611,2265"
"22","20/22","Situation of human rights in the Syrian Arab Republic","43,1031,1466,2222,2325"
