"","id","resolution","section"
"1","27/2","The right to development","101,650,3475"
"2","27/3","Special Rapporteur on the promotion of truth, justice, reparation and guarantees of non-recurrence","104,440,672,3478"
"3","27/4","Local government and human rights","107,679,3484"
"4","27/5","The safety of journalists","110,682,3487"
"5","27/6","Panel discussion on realizing the equal enjoyment of the right to education by every girl","113,685,3490"
"6","27/7","The human right to safe drinking water and sanitation","116,690,3499"
"7","27/8","Promoting human rights through sport and the Olympic ideal","119,695,3508"
"8","27/9","Mandate of the Independent Expert on the promotion of a democratic and equitable international order","122,698,3514"
"9","27/10","The use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination","125,717,3517"
"10","27/11","Preventable maternal mortality and morbidity and human rights","128,741,3523"
"11","27/12","World Programme for Human Rights Education: adoption of the plan of action for the third phase","131,747,3526"
"12","27/13","Human rights and indigenous peoples","134,752,3532"
"13","27/14","Preventable mortality and morbidity of children under 5 years of age as a human rights concern","137,757,3535"
"14","27/15","The right of the child to engage in play and recreational activities","140,764,3550"
"15","27/16","The continuing grave deterioration in the human rights and humanitarian situation in the Syrian Arab Republic","143,1094,3481"
"16","27/17","Promotion of the right to peace","146,1143,3511"
"17","27/18","National institutions for the promotion and protection of human rights","149,1987,3240,3541"
"18","27/19","Technical assistance and capacity-building for Yemen in the field of human rights","152,2254,3493"
"19","27/20","Enhancement of technical cooperation and capacity-building in the field of human rights","155,2257,3520"
"20","27/21","Human rights and unilateral coercive measures","158,769,3472"
"21","27/22","Intensifying global efforts and sharing good practices to effectively eliminate female genital mutilation","161,824,3502"
"22","27/23","Mandate of the Special Rapporteur on the implications for human rights of the environmentally sound management and disposal of hazardous substances and wastes","164,832,3505"
"23","27/24","Equal participation in political and public affairs","167,846,3553"
"24","27/25","Mandate of the Working Group of Experts on People of African Descent","170,2160,3496"
"25","27/26","National policies and human rights","173,2262,3529"
"26","27/27","Technical assistance and capacity-building for human rights in the Democratic Republic of the Congo","176,2268,3562"
"27","27/28","Technical assistance and capacity-building in the field of human rights in the Central African Republic","179,2273,3559"
"28","27/29","Technical assistance and capacity-building to improve human rights in the Sudan","182,2279,3556"
"29","27/30","Effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights: the activities of vulture funds","185,858,3544"
"30","27/31","Civil society space","188,884,3538"
"31","27/32","Human rights, sexual orientation and gender identity","191,1993,3547"
"32","27/1","Enforced or involuntary disappearances","98,644,3469"
